,CH10,CH9
512,317,132
513,330,133
514,341,137
515,348,134
516,349,131
517,368,130
518,369,124
519,347,123
520,338,122
521,331,122
522,326,123
523,322,125
524,317,128
525,318,133
526,318,137
527,317,148
528,316,151
529,313,152
530,315,155
531,314,163
532,315,169
533,316,171
534,319,180
535,319,185
536,323,185
537,318,170
538,313,161
539,311,151
540,309,176
541,310,140
542,313,138
543,311,136
544,317,137
545,368,139
546,380,135
547,377,133
548,377,130
549,373,126
550,366,126
551,349,124
552,339,127
553,332,126
554,322,131
555,309,134
556,308,133
557,296,137
558,293,151
559,287,168
560,290,174
561,289,180
562,292,188
563,294,192
564,290,196
565,294,192
566,292,177
567,291,164
568,289,155
569,286,147
570,288,143
571,291,142
572,294,140
573,295,141
574,304,143
575,306,142
576,0,140
577,0,136
578,288,129
579,280,126
580,263,125
581,294,126
582,278,126
583,284,128
584,282,131
585,261,134
586,261,134
587,238,134
588,244,137
589,228,151
590,200,166
591,198,177
592,239,179
593,211,184
594,192,191
595,191,195
596,217,191
597,180,175
598,177,162
599,224,153
600,223,146
601,220,138
602,266,0
603,272,0
604,273,0
605,277,0
606,10,174
607,0,185
608,0,189
609,0,179
610,0,171
611,0,177
612,0,179
613,0,175
614,0,200
615,0,208
616,0,185
617,0,191
618,0,203
619,0,195
620,180,189
621,276,0
622,284,0
623,295,0
624,303,0
625,316,0
626,307,0
627,298,0
628,311,0
629,309,0
630,297,0
631,303,0
632,291,0
633,305,0
634,304,0
635,305,137
636,276,210
637,130,218
638,21,227
639,0,257
640,0,239
641,0,241
642,0,234
643,0,231
644,0,233
645,0,265
646,48,264
647,129,258
648,180,263
649,241,245
650,293,266
651,314,222
652,323,87
653,314,9
654,322,0
655,320,0
656,329,0
657,331,0
658,321,0
659,324,0
660,309,0
661,316,0
662,319,61
663,313,118
664,311,178
665,325,237
666,308,277
667,271,302
668,240,257
669,223,286
670,202,289
671,186,284
672,188,315
673,0,897
674,0,921
675,0,1099
676,0,1144
677,38,958
678,132,1164
679,192,1183
680,247,1070
681,283,1062
682,298,924
683,296,788
684,312,675
685,304,512
686,322,407
687,321,327
688,320,234
689,312,145
690,307,245
691,320,295
692,309,272
693,307,222
694,296,202
695,317,223
696,295,177
697,272,87
698,246,5
699,231,0
700,206,0
701,198,0
702,182,0
703,177,0
704,189,0
705,216,0
706,246,0
707,266,0
708,292,0
709,306,0
710,2520,0
711,5333,0
712,7580,0
713,9403,0
714,10906,0
715,12203,0
716,13171,0
717,13076,0
718,10118,0
719,323,0
720,324,0
721,305,0
722,317,0
723,313,0
724,308,53
725,315,106
726,309,133
727,288,144
728,269,126
729,229,136
730,227,135
731,199,136
732,198,142
733,181,151
734,199,128
735,231,123
736,257,135
737,272,137
738,289,131
739,291,124
740,1983,130
741,4779,125
742,7062,103
743,8964,64
744,10556,47
745,11825,32
746,12863,6
747,13365,5
748,10462,0
749,7854,0
750,5726,18
751,4033,47
752,2671,70
753,1567,74
754,653,101
755,361,1607
756,359,4372
757,344,6736
758,333,8620
759,327,10127
760,324,11274
761,319,12305
762,211,119
763,200,121
764,190,133
765,218,114
766,265,115
767,271,119
768,284,128
769,304,91
770,1536,106
771,4373,112
772,6698,90
773,8587,72
774,10158,35
775,11473,19
776,12535,0
777,13309,0
778,10768,0
779,8117,0
780,6025,6
781,4275,46
782,2871,61
783,1727,77
784,797,91
785,374,1103
786,364,3939
787,354,6292
788,343,8342
789,333,9838
790,328,10925
791,327,11970
792,324,12900
793,324,10547
794,324,7980
795,329,5870
796,338,4171
797,343,2707
798,341,1522
799,342,561
800,505,79
801,1118,64
802,1635,64
803,2069,54
804,0,116
805,0,115
806,0,119
807,0,115
808,0,116
809,0,116
810,0,113
811,0,117
812,0,117
813,0,121
814,0,122
815,0,147
816,0,290
817,0,408
818,255,495
819,309,0
820,304,0
821,302,0
822,308,0
823,302,0
824,305,0
825,329,0
826,299,409
827,3623,0
828,312,147
829,315,147
830,299,0
831,292,0
832,289,142
833,714,149
834,651,145
835,537,141
836,0,141
837,0,140
838,0,138
839,0,137
840,0,136
841,48,141
842,129,117
843,372,82
844,377,80
845,370,87
846,247,99
847,224,108
848,214,116
849,133,121
850,94,126
851,3,148
852,76,212
853,116,284
854,0,319
855,10,345
856,41,362
857,0,380
858,0,390
859,74,352
860,72,306
861,0,265
862,0,234
863,69,202
864,0,176
865,0,160
866,0,142
867,58,143
868,0,140
869,11,136
870,70,138
871,0,136
872,0,136
873,0,133
874,0,129
875,0,129
876,0,133
877,0,135
878,0,138
879,0,138
880,0,141
881,0,143
882,0,142
883,0,151
884,0,169
885,0,175
886,0,183
887,0,189
888,0,191
889,0,200
890,0,201
891,0,187
892,0,179
893,0,172
894,0,166
895,0,162
896,0,153
897,0,149
898,0,145
899,0,143
900,0,143
901,0,145
902,0,146
903,0,148
904,0,144
905,0,139
906,0,143
907,0,142
908,0,143
909,0,142
910,0,145
911,0,146
912,0,144
913,89,73
914,100,0
915,0,0
916,52,0
917,0,144
918,0,131
919,0,582
920,0,590
921,0,753
922,0,0
923,0,0
924,0,145
925,0,158
926,0,161
927,0,158
928,0,660
929,0,131
930,0,129
931,67,131
932,0,179
933,0,294
934,0,199
935,0,136
936,0,137
937,0,134
938,0,133
939,0,2837
940,0,3758
941,0,4451
942,0,5055
943,0,136
944,0,141
945,0,142
946,0,2953
947,0,274
948,0,3160
949,0,3322
950,0,3299
951,0,1981
952,0,464
953,0,1393
954,0,1413
955,0,641
956,0,204
957,0,103
958,0,537
959,0,131
960,0,122
961,0,136
962,360,138
963,262,133
964,501,134
965,351,132
966,103,210
967,168,526
968,228,606
969,270,465
970,282,713
971,288,546
972,293,554
973,293,699
974,0,153
975,0,150
976,0,151
977,0,151
978,14,155
979,74,170
980,155,201
981,2590,212
982,3811,170
983,3244,0
984,1396,0
985,1277,0
986,1622,0
987,277,0
988,273,161
989,1017,138
990,973,139
991,2842,145
992,504,154
993,268,211
994,274,1229
995,1205,131
996,14,163
997,0,164
998,270,0
999,277,0
1000,275,0
1001,279,0
1002,271,0
1003,265,0
1004,269,0
1005,265,0
1006,320,136
1007,410,145
1008,361,177
1009,346,182
1010,328,178
1011,307,187
1012,274,264
1013,284,3154
1014,289,2792
1015,290,2137
1016,290,1509
1017,292,973
1018,291,682
1019,302,183
1020,304,121
1021,344,115
1022,355,113
1023,382,122
1024,406,130
1025,2859,149
1026,241,1276
1027,260,2200
1028,280,2600
1029,292,3037
1030,308,3395
1031,318,3177
1032,312,3793
1033,401,66
1034,1210,0
1035,1480,0
1036,1258,0
1037,989,0
1038,822,0
1039,670,0
1040,538,0
1041,381,0
1042,312,63
1043,307,369
1044,304,771
1045,307,902
1046,305,1084
1047,271,5086
1048,218,5382
1049,170,5966
1050,124,5780
1051,80,4316
1052,41,2985
1053,15,2157
1054,47,1443
1055,107,880
1056,167,238
1057,547,126
1058,811,129
1059,1039,128
1060,1381,131
1061,1575,127
1062,1657,68
1063,1724,6
1064,1541,0
1065,1086,0
1066,835,0
1067,811,0
1068,901,0
1069,228,232
1070,308,0
1071,311,0
1072,313,0
1073,319,81
1074,298,244
1075,301,239
1076,277,534
1077,1992,216
1078,2479,215
1079,3123,214
1080,3668,197
1081,3979,188
1082,4106,178
1083,294,0
1084,0,245
1085,0,292
1086,144,348
1087,290,124
1088,302,0
1089,301,0
1090,295,0
1091,300,0
1092,302,0
1093,309,0
1094,306,0
1095,303,0
1096,303,0
1097,303,0
1098,305,0
1099,323,0
1100,1387,77
1101,305,94
1102,301,92
1103,313,88
1104,1385,105
1105,3614,93
1106,6249,84
1107,8441,55
1108,9836,44
1109,11135,33
1110,12316,6
1111,12987,0
1112,10284,0
1113,7668,0
1114,5454,31
1115,3808,40
1116,2323,86
1117,1105,101
1118,479,42
1119,326,0
1120,319,0
1121,328,0
1122,321,0
1123,328,0
1124,3659,0
1125,294,39
1126,312,0
1127,467,46
1128,266,2754
1129,295,3247
1130,312,3009
1131,324,25
1132,357,14
1133,879,0
1134,457,0
1135,338,147
1136,323,0
1137,316,0
1138,328,0
1139,308,0
1140,287,0
1141,270,0
1142,321,0
1143,321,0
1144,323,211
1145,334,5168
1146,338,5571
1147,330,5306
1148,338,4038
1149,343,2952
1150,345,2098
1151,456,0
1152,351,0
1153,337,0
1154,1578,0
1155,350,0
1156,275,2847
1157,523,1
1158,488,0
1159,0,17
1160,0,15
1161,0,10
1162,0,8
1163,32,5
1164,121,1
1165,189,25
1166,306,455
1167,1502,92
1168,1910,89
1169,2252,86
1170,2503,81
1171,2713,80
1172,3077,77
1173,2592,76
1174,2041,72
1175,1604,75
1176,1258,80
1177,950,85
1178,342,1557
1179,353,13
1180,357,344
1181,385,794
1182,387,969
1183,395,1112
1184,340,691
1185,372,104
1186,0,126
1187,410,104
1188,416,105
1189,426,103
1190,419,103
1191,412,103
1192,402,106
1193,410,109
1194,995,93
1195,1080,90
1196,1092,90
1197,644,93
1198,1098,92
1199,1030,100
1200,704,110
1201,809,117
1202,674,126
1203,505,126
1204,451,141
1205,432,147
1206,455,661
1207,426,733
1208,418,793
1209,422,820
1210,420,834
1211,3539,97
1212,841,121
1213,724,125
1214,619,124
1215,344,617
1216,279,128
1217,308,136
1218,320,139
1219,333,141
1220,0,140
1221,3006,89
1222,300,0
1223,317,0
1224,306,0
1225,324,0
1226,315,0
1227,314,0
1228,307,0
1229,315,0
1230,315,0
1231,317,0
1232,322,0
1233,316,0
1234,0,149
1235,0,148
1236,0,150
1237,0,148
1238,0,151
1239,0,154
1240,0,158
1241,0,157
1242,0,156
1243,220,164
1244,303,0
1245,305,0
1246,306,0
1247,314,0
1248,298,0
1249,301,285
1250,303,271
1251,305,264
1252,307,259
1253,301,233
1254,301,226
1255,300,224
1256,297,237
1257,300,220
1258,301,223
1259,0,244
1260,0,226
1261,0,227
1262,0,222
1263,0,227
1264,0,227
1265,0,253
1266,0,254
1267,0,235
1268,0,262
1269,0,240
1270,0,237
1271,0,243
1272,0,245
1273,138,271
1274,282,0
1275,287,0
1276,290,0
1277,282,0
1278,287,0
1279,279,0
1280,284,0
1281,272,0
1282,272,0
1283,267,0
1284,267,0
1285,273,0
1286,311,0
1287,307,0
1288,317,126
1289,247,187
1290,144,181
1291,51,191
1292,0,179
1293,0,181
1294,0,180
1295,0,175
1296,0,193
1297,0,189
1298,36,176
1299,111,179
1300,186,178
1301,227,166
1302,276,168
1303,306,180
1304,320,126
1305,313,53
1306,147,167
1307,268,173
1308,310,17
1309,299,0
1310,284,0
1311,296,0
1312,296,0
1313,0,117
1314,360,98
1315,307,107
1316,294,217
1317,285,384
1318,283,532
1319,283,640
1320,156,2965
1321,150,3406
1322,181,3818
1323,219,3764
1324,250,2752
1325,273,2049
1326,290,1522
1327,306,992
1328,321,597
1329,324,331
1330,325,49
1331,423,0
1332,579,0
1333,694,0
1334,793,0
1335,875,0
1336,950,0
1337,1007,0
1338,1015,0
1339,849,0
1340,318,650
1341,318,518
1342,316,343
1343,311,237
1344,309,92
1345,309,180
1346,309,302
1347,309,260
1348,307,0
1349,0,181
1350,0,179
1351,668,45
1352,305,178
1353,297,184
1354,292,219
1355,288,249
1356,283,152
1357,283,150
1358,0,165
1359,1,201
1360,318,183
1361,463,148
1362,320,3712
1363,315,4055
1364,171,53
1365,305,68
1366,313,149
1367,327,1161
1368,325,1448
1369,358,1922
1370,334,2170
1371,393,1989
1372,403,548
1373,403,0
1374,0,0
1375,934,0
1376,959,0
1377,1031,0
1378,1078,0
1379,954,0
1380,904,0
1381,760,0
1382,689,0
1383,640,0
1384,605,0
1385,626,0
1386,623,0
1387,631,0
1388,577,25
1389,701,0
1390,584,0
1391,595,0
1392,660,0
1393,663,0
1394,600,0
1395,620,0
1396,676,0
1397,731,0
1398,860,0
1399,344,0
1400,0,0
1401,0,0
1402,0,0
1403,0,0
1404,0,0
1405,0,0
1406,0,0
1407,872,90
1408,654,93
1409,468,94
1410,328,96
1411,318,587
1412,315,1044
1413,313,1399
1414,312,1687
1415,313,1950
1416,312,2147
1417,314,2295
1418,314,2171
1419,315,1683
1420,310,1272
1421,309,939
1422,310,664
1423,311,449
1424,313,274
1425,314,136
1426,405,124
1427,502,125
1428,583,124
1429,0,122
1430,0,121
1431,0,121
1432,0,117
1433,0,117
1434,0,118
1435,0,117
1436,0,120
1437,0,122
1438,0,125
1439,0,125
1440,0,125
1441,0,197
1442,0,291
1443,54,364
1444,289,0
1445,291,0
1446,292,0
1447,292,0
1448,294,0
1449,297,0
1450,287,0
1451,295,0
1452,277,0
1453,285,0
1454,283,0
1455,281,0
1456,300,0
1457,324,0
1458,341,0
1459,241,149
1460,0,150
1461,0,154
1462,0,146
1463,0,148
1464,0,144
1465,0,152
1466,0,145
1467,0,151
1468,0,151
1469,0,145
1470,0,149
1471,0,163
1472,95,195
1473,224,219
1474,305,130
1475,300,0
1476,308,0
1477,318,0
1478,325,0
1479,312,0
1480,320,0
1481,320,0
1482,305,0
1483,311,0
1484,316,0
1485,304,0
1486,314,0
1487,317,0
1488,315,56
1489,312,143
1490,238,135
1491,155,150
1492,0,135
1493,0,139
1494,0,135
1495,0,150
1496,0,144
1497,0,147
1498,0,144
1499,0,141
1500,0,146
1501,230,146
1502,253,146
1503,281,144
1504,306,142
1505,301,60
1506,302,0
1507,309,0
1508,307,0
1509,314,0
1510,316,0
1511,309,0
1512,295,0
1513,304,0
